etiqueta_original,grupo_corregido,tipo
900099646,ALS Global,Multinacional
ALS Global,ALS Global,Multinacional
33661814999,Adecco,Multinacional
ADECCO RECURSOS HUMANOS (PAYROLL),Adecco,Multinacional
Adecco,Adecco,Multinacional
99579140,Asfaltos Vergara,Etiqueta duplicada
ASFALTOS VERGARA S.A.,Asfaltos Vergara,Etiqueta duplicada
20502790731,Barron Vieyra International,Multinacional
78723570,Barron Vieyra International,Multinacional
CMPC,CMPC,Mismo grupo — caso testigo
GRUPO CMPC,CMPC,Mismo grupo — caso testigo
3-101-153905,Café Britt / Morpho,Mismo país (PA)
Morpho Travel Experience CR S.A,Café Britt / Morpho,Mismo país (PA)
CENCOSUD PERU,Cencosud,Multinacional
Cencosud SA,Cencosud,Multinacional
993379000,Cjtech,Multinacional
993379244,Cjtech,Multinacional
Cjtech,Cjtech,Multinacional
96680160,Combustibles Cabal,Etiqueta duplicada
Servicios Cabal Spa,Combustibles Cabal,Etiqueta duplicada
76472640,Comercializadora de Vestuario,RUT duplicado
96554710,Comercializadora de Vestuario,RUT duplicado
CME030219B,Concesionaria Mexiquense,Mismo país (MX)
OCM0505317,Concesionaria Mexiquense,Mismo país (MX)
5525397,Control y Sostenibilidad,RUT truncado
Control y Sostenibilidad,Control y Sostenibilidad,RUT truncado
65216016,Coop. Recicladores Certificados,RUT con typo
65216601,Coop. Recicladores Certificados,RUT con typo
76192301,Cultiva Strategic Partners,RUT duplicado
76786227,Cultiva Strategic Partners,RUT duplicado
76376719,DACH Outsourcing,RUT duplicado
77092833,DACH Outsourcing,RUT duplicado
20606158751,DHL Supply Chain,Multinacional
96950550,DHL Supply Chain,Multinacional
20344877158,Derco,Multinacional
94141000,Derco,Multinacional
0993268488001,Eureka EC,RUC con typo
993268000,Eureka EC,RUC con typo
993268488,Eureka EC,RUC con typo
993268488001,Eureka EC,RUC con typo
77478120,Fresenius Kabi,Multinacional
900402080,Fresenius Kabi,Multinacional
65151098,Fundación Educacional Macaya,RUT con typo
65161098,Fundación Educacional Macaya,RUT con typo
33700864109,GAES,Multinacional
96848260,GAES,Multinacional
76220664,Green Pest Control,RUT duplicado
77078137,Green Pest Control,RUT duplicado
76197645,Grupo Eulen,Multinacional
76432546,Grupo Eulen,Multinacional
830056418,Grupo Eulen,Multinacional
A28517308,Grupo Eulen,Multinacional
EDA970605C,Grupo Eulen,Multinacional
EME970313K,Grupo Eulen,Multinacional
EMS970314U,Grupo Eulen,Multinacional
ESP971110L,Grupo Eulen,Multinacional
